QueryID,Tables,safebound_Estimate,safebound_InferenceTime
37,MC MI_IDX,4741055.0,0.47100000000000003
37,T MC MI_IDX,413436.5974994591,1.357
38,T MC,44310.99999999999,2.1679999999999997
38,T MI_IDX,21733.03583433754,1.665
38,MC MI_IDX,1274246.0,0.768
38,T MC MI_IDX,44310.99999999999,3.143
39,T MC,1274246.0,1.4829999999999999
39,T MI_IDX,459925.0,1.017
39,MC MI_IDX,1274246.0,0.726
39,T MC MI_IDX,1274246.0,2.121
40,T MC,1274246.0,1.665
40,T MI_IDX,459925.0,1.248
40,MC MI_IDX,1274246.0,0.787
40,T MC MI_IDX,1274246.0,2.4160000000000004
41,T MC,1274246.0,1.591
41,T MI_IDX,459925.0,1.159
41,MC MI_IDX,1274246.0,0.7240000000000001
41,T MC MI_IDX,1274246.0,2.284
42,T MC,194257.0,1.1119999999999999
42,T MI_IDX,47176.42545098866,0.837
42,MC MI_IDX,1274246.0,0.7200000000000001
42,T MC MI_IDX,163624.29301888263,1.639
43,T MC,307737.0,2.092
43,T MI_IDX,167056.0,1.428
43,MC MI_IDX,1300180.0,0.6890000000000001
43,T MC MI_IDX,307737.0,3.016
44,T MC,1274246.0,1.479
44,T MI_IDX,459925.0,1.0959999999999999
44,MC MI_IDX,1274246.0,0.722
44,T MC MI_IDX,1274246.0,2.1519999999999997
45,T MC,1334882.9999999998,0.9510000000000001
45,T MI_IDX,459925.0,0.712
45,MC MI_IDX,1300180.0,0.6880000000000001
45,T MC MI_IDX,1300179.9999999998,1.4300000000000002
46,T MC,138033.00000000003,1.305
46,T MI_IDX,37716.163333952965,0.889
46,MC MI_IDX,1274246.0,0.756
46,T MC MI_IDX,108728.76815092652,1.9789999999999999
47,T MC,10702.539831711016,1.148
47,T MI_IDX,838.886170025071,0.894
47,MC MI_IDX,1274246.0,0.733
47,T MC MI_IDX,5990.633033851172,1.6869999999999998
48,T MC,87492.99999999999,1.881
48,T MI_IDX,58600.0,1.2429999999999999
48,MC MI_IDX,4822598.0,0.49799999999999994
48,T MC MI_IDX,232210.1136363636,2.5010000000000003
49,T MC,157728.00000000003,1.591
49,T MI_IDX,115542.0,1.345
49,MC MI_IDX,1778711.5894096042,0.432
49,T MC MI_IDX,150552.38854147325,2.3930000000000002
50,T MC,293.0,1.573
50,T MI_IDX,123.41670470104977,1.056
50,MC MI_IDX,4822598.0,0.49700000000000005
50,T MC MI_IDX,864.2985028866844,2.054
51,T MC,126472.0,1.746
51,T MI_IDX,52620.78738526778,1.3339999999999999
51,MC MI_IDX,1274246.0,0.735
51,T MC MI_IDX,114900.2760476469,2.512
52,T MC,627405.9999999998,2.2039999999999997
52,T MI_IDX,377604.0,1.2049999999999998
52,MC MI_IDX,4822598.0,0.495
52,T MC MI_IDX,1320130.8421052634,2.8930000000000002
53,T MC,34385.0,2.391
53,T MI_IDX,20604.0,1.7309999999999999
53,MC MI_IDX,4822598.0,0.496
53,T MC MI_IDX,96535.55903744652,3.231
54,T MC,28827.000000000007,2.016
54,T MI_IDX,7967.536140420077,1.534
54,MC MI_IDX,1300180.0,0.6880000000000001
54,T MC MI_IDX,25876.735627650145,2.886
55,T MC,310340.99999999994,1.158
55,T MI_IDX,150489.0,0.7150000000000001
55,MC MI_IDX,1274246.0,0.798
55,T MC MI_IDX,216662.11064201003,1.721
56,T MC,1231232.0,1.203
56,T MK,489.00000000000006,1.544
56,MC MK,33245.08379705401,0.464
56,T MC MK,30433.388888888898,2.166
57,T MC,1274246.0,0.787
57,T MK,4702.0,0.691
57,MC MK,175776.0,0.759
57,T MC MK,175776.0,1.2409999999999999
58,T MC,293.0,1.605
58,T MK,340.0050944444444,1.642
58,MC MK,20766.888888888887,0.633
58,T MC MK,1551.0,2.621
59,T MC,308223.0,2.059
59,T MK,362.4412944444445,2.2560000000000002
59,MC MK,20766.888888888887,0.622
59,T MC MK,15056.332811951032,4.064
60,T MC,1231063.0,1.124
60,T MK,382.6276416493542,1.382
60,MC MK,20781.67008547008,0.27
60,T MC MK,21907.942566661743,2.196
61,T MC,1526.999999999999,2.096
61,T MK,520.0000000000001,2.166
61,MC MK,34752.31473010065,0.741
61,T MC MK,6327.808200948174,3.6029999999999998
62,T MC,21366.0,1.9949999999999999
62,T MK,49701.00000000001,1.7489999999999999
62,MC MK,30259050.49214346,0.5519999999999999
62,T MC MK,1064874.17158164,3.114
63,T MC,24102.0,1.814
63,T MK,24736.4012589,1.9989999999999999
63,MC MK,49764509.90950257,0.596
63,T MC MK,178850.48673880362,3.477
64,T MC,1274246.0,1.556
64,T MK,795.0,1.366
64,MC MK,45278.0,0.7380000000000001
64,T MC MK,45277.99999999999,2.326
65,T MC,1274246.0,1.129
65,T MK,997.0,1.004
65,MC MK,54046.0,0.745
65,T MC MK,54046.0,1.751
66,T MC,1062.999999999999,1.0959999999999999
66,T MK,340.03959444444445,0.896
66,MC MK,20766.888888888887,0.596
66,T MC MK,3179.3333333333326,1.613
67,T MC,4195.0,2.7169999999999996
67,T MK,339.99999999999994,2.8289999999999997
67,MC MK,20766.888888888887,0.6130000000000001
67,T MC MK,4772.444444444443,4.5120000000000005
68,T MC,47311.99999999999,1.5690000000000002
68,T MK,5732.999999999999,1.571
68,MC MK,204418.0,0.7789999999999999
68,T MC MK,63203.5513808184,2.663
69,T MC,615637.0,1.7830000000000001
69,T MK,382.6276416493543,1.772
69,MC MK,20766.888888888887,0.614
69,T MC MK,18025.423209705557,3.209
70,T MC,1307691.0,1.528
70,T MK,4458.0,1.444
70,MC MK,80897.0,0.7649999999999999
70,T MC MK,80897.0,2.5869999999999997
71,T MC,453026.0,1.472
71,T MK,1507.9999999999998,1.794
71,MC MK,38222.0,0.726
71,T MC MK,29290.1,2.7920000000000003
72,T MC,1274246.0,1.1139999999999999
72,T MK,670.0,0.9520000000000001
72,MC MK,42514.0,0.809
72,T MC MK,42514.000000000015,1.686
73,T MC,1371.9999999999995,1.8719999999999999
73,T MK,5191.000000000001,1.631
73,MC MK,49764509.90950257,0.58
