QueryID,Tables,lpbound_Estimate
46,MI_IDX T,32767.99999999996
46,MC MI_IDX,1274246.0000000012
46,MC MI_IDX T,130632.99999999975
47,MC T,6468.0
47,MI_IDX T,2048.0
47,MC MI_IDX,1274246.0000000012
47,MC MI_IDX T,6468.0
48,MC T,87492.99999999996
48,MI_IDX T,57869.99999999996
48,MC MI_IDX,4100660.908492193
48,MC MI_IDX T,262478.99999999953
49,MC T,634273.9999999978
49,MI_IDX T,262144.0
49,MC MI_IDX,1901965.0000000014
49,MC MI_IDX T,634273.9999999994
50,MC T,288.9999999999999
50,MI_IDX T,174.00000000000006
50,MC MI_IDX,4100660.908492193
50,MC MI_IDX T,867.0000000000007
51,MC T,115324.99999999999
51,MI_IDX T,32768.0
51,MC MI_IDX,1274246.0000000012
51,MC MI_IDX T,115324.99999999999
52,MC T,649787.9999999979
52,MI_IDX T,394790.99999999994
52,MC MI_IDX,4100660.908492193
52,MC MI_IDX T,1666407.5426629614
53,MC T,30147.99999999998
53,MI_IDX T,20604.00000000003
53,MC MI_IDX,4100660.908492193
53,MC MI_IDX T,84664.57577995655
54,MC T,28826.999999999956
54,MI_IDX T,8192.000000000011
54,MC MI_IDX,1143296.3862336813
54,MC MI_IDX T,28827.000000000062
55,MC T,310341.0000000002
55,MI_IDX T,65535.99999999992
55,MC MI_IDX,1274246.0000000012
55,MC MI_IDX T,271256.25186527957
56,MC T,1307689.9999999956
56,MK T,478.9999999999993
56,MC MK,23359.315914640953
56,MC MK T,23062.78285175036
57,MC T,1274246.0000000012
57,MK T,4702.000000000003
57,MC MK,139903.20429008274
57,MC MK T,139903.20429008274
58,MC T,288.9999999999999
58,MK T,116.47317287684751
58,MC MK,7712.594097808338
58,MC MK T,1014.6689115174478
59,MC T,493889.9999999999
59,MK T,132.00000000000009
59,MC MK,7712.594097808338
59,MC MK T,6708.581338824869
60,MC T,1070559.9999999984
60,MK T,132.00000000000009
60,MC MK,8119.010299093786
60,MC MK T,7668.095863113049
61,MC T,823.0000000000002
61,MK T,255.99999999999983
61,MC MK,23666.711742110412
61,MC MK T,823.0000000000011
62,MC T,21366.00000000004
62,MK T,49700.000000000044
62,MC MK,24626110.318643
62,MC MK T,1005533.1441379734
63,MC T,18305.00000000002
63,MK T,18745.0
63,MC MK,42993041.665412776
63,MC MK T,139301.83457155127
64,MC T,1274245.9999999981
64,MK T,778.0000000000005
64,MC MK,34672.35439282961
64,MC MK T,34672.35439282961
65,MC T,1274245.9999999981
65,MK T,487.99999999999955
65,MC MK,23522.288025863283
65,MC MK T,23522.288025863283
66,MC T,718.0
66,MK T,128.0
66,MC MK,12989.142234959172
66,MC MK T,718.0
67,MC T,4195.0
67,MK T,166.99999999999997
67,MC MK,9451.235580837709
67,MC MK T,2430.4919255163127
68,MC T,34034.99999999996
68,MK T,2711.0000000000036
68,MC MK,92563.19561593386
68,MC MK T,23891.852272270524
69,MC T,1070559.9999999984
69,MK T,259.00000000000017
69,MC MK,13767.202382104762
69,MC MK T,13488.48146566521
70,MC T,1220675.6491320634
70,MK T,2267.0000000000005
70,MC MK,36680.350203380505
70,MC MK T,36680.350203380505
71,MC T,634273.9999999978
71,MK T,1445.9999999999975
71,MC MK,26174.314059238633
71,MC MK T,24701.36671849856
72,MC T,1274246.0000000012
72,MK T,659.9999999999993
72,MC MK,30231.07669941023
72,MC MK T,30231.076699410194
73,MC T,660.0000000000001
73,MK T,1282.0000000000005
73,MC MK,42993041.665412776
73,MC MK T,16414.656377761923
74,MC T,1274245.9999999981
74,MK T,777.0000000000005
74,MC MK,34635.21207268761
74,MC MK T,34635.21207268761
75,MC T,1274245.9999999981
75,MK T,836.0000000000003
75,MC MK,36762.69111238611
75,MC MK T,36762.69111238611
76,MC T,1307689.9999999956
76,MK T,483.00000000000017
76,MC MK,23456.64681918537
76,MC MK T,23456.64681918537
77,MC T,288.9999999999999
77,MK T,101.99999999999997
77,MC MK,11219.823949449281
77,MC MK T,288.9999999999999
78,MC T,351088.9999999991
78,MK T,1190.999999999998
78,MC MK,52999.92132857344
78,MC MK T,34811.6171250416
79,MC T,493889.9999999999
79,MK T,1052.9999999999986
79,MC MK,44216.56186264335
79,MC MK T,35669.96672174733
80,MC T,860.9999999999987
80,MK T,256.0
80,MC MK,19367.107233613726
80,MC MK T,860.9999999999998
