QueryID,lpbound_without_fkpk,lp
1,7017.85023508544,
2,564.0506156741995,
3,7017.85023508544,
4,564.0506156741995,
5,638953.8811275797,
6,370148895.2568954,
7,370148895.2568954,
8,370148895.2568954,
9,4523930.000000035,
10,4523930.000000035,
11,4523930.000000035,
12,39397767.53199113,
13,39397767.53199181,
14,39397767.53199113,
15,11699472.76100758,
16,158139133.33008036,
17,11699472.76100758,
18,11699472.76100758,
19,517128714.96023613,
20,29894697.000000086,
21,7601949.708983183,
22,36244344.000000104,
23,32912278.935953867,
24,13196639.115977103,
25,2049605.8469793773,
26,32912278.93595403,
27,32868060.49144438,
28,54458019.967572734,
29,54384854.29774116,
30,139612320.05857056,
31,111942.09099191077,
32,111942.09099191077,
33,59253999.48506864,
34,3126654.078081118,
35,4122.061858356509,
36,3126654.078081118,
37,6634572.590444028,
38,13918786.460718203,
39,13918786.460718203,
40,13918786.460718203,
41,1545238577.9545023,
42,1545238577.9545023,
43,1545238577.9545023,
44,84843722.3593381,
45,9430235.81017521,
46,62644826.28924131,
47,62644826.28924131,
48,594182849.3740472,
49,594216778.7289497,
50,594216778.7289468,
51,517128714.96023995,
52,517128714.96023995,
53,22363462.080458283,
54,22363462.080458283,
55,22363462.080458283,
56,238761473.0995886,
57,238761473.0995886,
58,121580174816.18889,
59,911092406.2016834,
60,121580174816.18889,
61,2581860485.2473903,
62,2581860485.2473903,
63,517128714.9602323,
64,517128714.9602323,
65,22363462.080458283,
66,238761473.0995886,
67,238761473.0995886,
68,275937015.37688786,
69,275937015.37688786,
70,2581860485.2473903,
