QueryID,truecardinality_Estimate
1,2553
2,158126
3,55061
4,248854
5,107597
6,34477
7,179417
8,12558
9,6020
10,18790
11,4077835
12,533211
13,13155
14,2249554
15,1119101
16,73499
17,451129
18,139547
19,194580
20,310857
21,2039329
22,73
23,91
24,969134
25,385
26,1122
27,66359
28,629695
29,288424
30,739797
31,180971
32,6587
33,1539
34,51995
35,171158
36,267974
37,654559
38,73
39,16
40,86
41,269552
42,188037
43,1135692
44,6008456
45,809867
46,1301
47,12
48,507821
49,420002
50,17
51,9
52,103729
