QueryID,lpbound_Estimate
1,6.0
2,6.0
3,6.0
4,264.00000000000017
5,2987.9999999999973
6,2844.000000000002
7,426.0000000000003
8,6.0
9,79.00000000000001
10,6.0
11,2987.9999999999973
12,216.00000000000009
13,6674.000000000006
14,66.00000000000004
15,66.00000000000004
16,66.00000000000004
17,66.00000000000004
18,693.0000000000001
19,66.00000000000004
20,1056.0000000000007
21,264.00000000000017
22,264.00000000000017
23,192.0
24,12.0
25,12.0
26,12.0
27,12.0
28,132.00000000000009
29,96.0
30,6.0
31,192.0
32,63.000000000000014
33,12.0
34,6.0
35,132.0
36,82.99999999999999
37,12.0
38,165.99999999999986
39,12.0
40,132.0
41,66.00000000000004
42,66.00000000000004
43,1056.0000000000007
44,126.0000000000001
45,264.00000000000017
46,188.00000000000003
47,426.0000000000003
48,5254.000000000002
49,426.0000000000003
50,12.0
51,165.99999999999986
52,158.0000000000001
53,12.0
54,188.00000000000003
55,66.00000000000004
56,869.0000000000013
57,2730.0000000000055
58,12.0
59,12.0
60,148.0000000000001
61,115.99999999999999
62,1034.000000000001
