QueryID,lpbound_Estimate
1,77456.99999999991
2,3615.0000000000014
3,3709.000000000002
4,3714.0000000000023
5,3714.0000000000023
6,965.0000000000003
7,609.9999999999999
8,238.00000000000003
9,965.0000000000003
10,533.0000000000002
11,8192.0
12,8191.99999999998
13,3639.9999999999986
14,34770.00000000007
15,41399.99999999984
16,51378.409161825875
17,10047.806993195862
18,3714.0000000000023
19,8191.99999999999
20,7737.389345110581
21,771175.0665542807
22,12905.99999999999
23,359574.74548416224
24,41533.00000000003
25,693.0000000000001
26,43194.00000000002
27,57113.00000000002
28,45528.34229356478
29,965.0000000000003
30,49619.85667049025
31,107844.17270844473
32,1023.9999999999987
33,41532.99999999993
34,382503.4922820961
35,50823.01211065705
36,146.00000000000003
37,3738.999999999993
38,4925.557836428259
39,3263.5683394071916
40,14118.093922339513
41,21081.683327271458
42,657.0000000000001
43,17439.999999999956
44,65585.99999999997
45,34313.73281938294
46,8192.0
47,197550.70413399368
48,215536.4290119793
49,752560.0700004059
50,57113.00000000002
51,71066.3553689595
52,1649.9999999999995
53,20430.27297790749
54,68265.00000000003
55,793.0000000000005
56,17642599.698007543
57,12668790.772951737
58,8192.0
59,17642599.698007543
60,1024.0
61,5343039.180479452
62,77456.99999999991
63,52621.99999999997
64,51295.99999999998
65,364757.9433935517
66,2670.0
67,3615.0000000000014
68,3248.0000000000005
69,965.0000000000003
70,965.0000000000003
71,65646.00000000003
72,66041.99999999993
73,965.0000000000003
74,35636.00000000002
75,12493.00000000003
76,3654.0
77,29462.000000000015
78,41533.00000000003
79,21982.99999999999
80,21982.99999999999
81,965.0000000000003
82,41399.99999999984
83,41533.00000000003
84,41693.99999999993
85,337064.4176207275
86,609.9999999999999
87,962.9999999999995
88,43194.00000000002
89,8192.0
90,3714.0000000000023
91,8192.0
92,3714.0000000000023
93,60365.99999999989
94,722.9999999999997
95,23703.999999999993
96,502.99999999999983
97,35636.00000000002
98,771175.0665542787
99,3615.0000000000014
100,771175.0665542787
101,722.9999999999997
102,57113.00000000002
103,3714.0000000000023
104,3738.999999999993
105,8192.0
106,8192.0
107,20589.65643229626
108,372.99999999999983
109,609.9999999999999
110,11779.889303384787
111,23704.000000000022
112,60365.99999999996
113,343133.9300112999
114,8191.99999999998
115,64086.022188929936
116,17607123.722828064
117,12671243.204037877
118,64086.022188929615
119,3639.9999999999986
120,8191.99999999998
121,8191.99999999999
