QueryID,safebound_Estimate,safebound_InferenceTime
1,79851.0,0.533
2,913718.020138244,0.988
3,99139960.51403116,0.803
4,59373609.33067831,1.244
5,1179454.949772613,0.662
6,4030249.6583726346,1.5790000000000002
7,915924.349079181,6.5329999999999995
8,51436.26466636814,2.2039999999999997
9,13321780.138321212,1.193
10,537823.4023604051,2.307
11,117919.0409035409,0.457
12,11102.0,0.699
13,299843.5592948717,1.445
14,34789.0,1.314
15,6995153.664923294,0.861
16,339247.256048004,2.4299999999999997
17,19162.526315789477,1.7309999999999999
18,4367670.385651386,1.435
19,172132.47818521425,0.9700000000000001
20,2592953.5302302446,3.404
21,54085097.60158056,1.577
22,2802284.584311698,6.9430000000000005
23,734072974.731026,1.6689999999999998
24,238646617.90723884,1.8010000000000002
25,492473461.6201124,5.6979999999999995
26,2301333017.186745,1.09
27,86966569.7585112,2.42
28,1946720.8024377965,2.262
29,2313475188.366085,1.7149999999999999
30,351044268.0614794,4.0169999999999995
31,267143.24889110686,8.439
32,242066.73137464956,6.422
33,1553396.3156825856,3.666
34,154474865.1503241,2.735
35,20355147.96117236,8.189
36,9372319.043478262,4.152
37,7652553.601685828,5.044
38,9534354370.60661,3.821
39,2214852706.731237,3.065
40,8187412562.699917,4.986
41,158103333.42417246,5.3
42,101290356055.86584,2.419
43,8976256400.082476,7.792999999999999
44,46924306.96623469,1.251
45,29285352.766378533,3.098
46,14393311817849.578,3.503
47,72169414452.21967,9.763000000000002
48,7055833407.125721,1.3840000000000001
49,871626932.3351625,4.325
50,282681408.94783306,5.2139999999999995
51,116411363.74013849,3.817
52,183670898.4762509,6.426
53,52185137.36593695,9.757
54,1506305.541575485,4.015000000000001
55,1648916.6953395451,7.642
56,176289024443.7924,0.696
57,74359365850.27916,3.646
58,23600264755.54597,5.752
59,3373520650.5045385,1.811
60,18525978065.95724,2.213
61,2439593845.020016,2.919
62,3751571000.842846,5.825
63,465005699.2095234,9.013
64,20850236.45065261,10.056000000000001
65,60293548.9098745,4.0169999999999995
66,1206127618.7550535,5.321000000000001
67,10715193.134900784,1.7489999999999999
68,2934881.0708331685,2.27
69,30313436.075974867,0.691
70,30305535.71464696,0.733
71,1122132.0899299628,1.735
72,1128817.7702182096,2.59
73,13321780.138321212,1.1520000000000001
74,2418315.0,2.319
75,4026724.3689009766,2.013
76,68463989.26666512,1.189
77,225928.4134615384,1.536
78,7032362.546321651,0.614
79,24317658.95223125,0.40499999999999997
80,20085502.275641028,1.361
81,1828840087.231911,2.843
82,5330174196.798422,1.479
83,1300663.3610484684,3.935
84,15428870.565153409,1.666
85,29971072.799620584,5.178999999999999
86,359800209.2398821,5.79
87,106323022104.74413,1.9469999999999998
88,2301333017.186745,1.116
89,101998147.0580485,0.928
90,100230428.52345754,1.014
91,114762951.65126064,1.018
92,105231086.39195144,0.963
93,95577467.68275076,5.753
94,348059450.7230432,3.7230000000000003
95,4992289373.403126,1.955
96,1413960.3730075692,2.509
97,1258810.611784981,4.957999999999999
98,18013256971.862694,0.805
99,218910199.06658804,3.139
100,990444436.7509176,1.221
101,97909884.0047886,4.313
102,7771482943.036371,0.853
103,39206328.04445415,2.584
104,7652553.601685826,4.286
105,66993692.60791015,3.043
106,1381254.4501806695,4.218
107,165100281410.90128,2.976
108,885510049.9394498,3.682
109,502612287.8868281,7.986
110,1569265705.029466,4.747999999999999
111,380401774095.3217,2.277
112,5108331571.746311,9.16
113,25108762.26147859,4.401000000000001
114,1697266945.6138153,2.545
115,42279860074.43098,6.672
116,93833053085.22932,2.807
117,84436492980.46027,5.922000000000001
118,64612727365.74544,4.49
119,5598816842.350563,2.627
120,59241263.67427257,4.587
121,107462815.7813279,2.799
