QueryID,safebound_Estimate,safebound_InferenceTime
1,6406.0,1.0170936584472656
2,720.0,1.985788345336914
3,6406.0,1.4843940734863281
4,840.0,1.4019012451171875
5,974941.907724241,0.6000995635986328
6,164403982.0934313,1.4185905456542969
7,93018969.96504895,1.489877700805664
8,266926276.12585947,1.2660026550292969
9,1801372.0000000005,1.2927055358886719
10,1801372.0000000005,1.3127326965332031
11,2946979.000000001,1.2660026550292969
12,27296236.53665362,1.697540283203125
13,16000011.490279704,1.8968582153320312
14,38131120.708610125,1.5170574188232422
15,193589.3442721697,1.402139663696289
16,44367015.38117246,1.3115406036376953
17,140632.07148650262,1.5411376953125
18,204087.69940427894,1.2204647064208984
19,342479095.2019453,1.0423660278320312
20,12108539.999999998,0.6971359252929688
21,2217038.0000000005,1.1010169982910156
22,33978132.0,0.6020069122314453
23,36797048.23339826,0.7202625274658203
24,15493951.939196926,0.6723403930664062
25,2503021.536120598,0.5431175231933594
26,23367377.70058708,2.520322799682617
27,21034021.099835124,2.797365188598633
28,41798029.04726142,1.6248226165771484
29,41798029.04726142,1.5714168548583984
30,107616107.37523298,0.8873939514160156
31,166059.00000000003,1.3096332550048828
32,166059.00000000003,0.8115768432617188
33,57244150.96884957,0.4849433898925781
34,3123332.000000002,4.366874694824219
35,6580.0,0.8082389831542969
36,5268660.000000002,3.1843185424804688
37,9114382.243018042,2.6369094848632812
38,13718087.999999985,4.18543815612793
39,19421688.878262784,2.3903846740722656
40,13718088.000000002,2.6216506958007812
41,1580938698.4906554,2.165555953979492
42,1196075741.1675713,4.276275634765625
43,1580938698.4906554,2.2041797637939453
44,186186163.19429585,0.6315708160400391
45,15880112.29970111,0.9255409240722656
46,58993245.168975264,3.5371780395507812
47,83574790.20576264,1.0533332824707031
48,594614910.6680081,4.934787750244141
49,740432421.6921067,1.2221336364746094
50,696549206.0442356,2.5670528411865234
51,322564508.3376176,1.8124580383300781
52,283791830.51797575,2.4399757385253906
53,64810688.58733293,1.537322998046875
54,58084560.42414841,3.0634403228759766
55,64810688.58733293,1.5447139739990234
56,381600667.06967443,2.869129180908203
57,381600667.06967443,2.9969215393066406
58,136403942897.71863,3.5550594329833984
59,6260743296.0,2.8371810913085938
60,155750203890.448,2.9993057250976562
61,4445375668.348722,1.1510848999023438
62,3530465035.0072584,2.9735565185546875
63,283791830.51797575,3.1614303588867188
64,227143689.00000003,3.2491683959960938
65,13488880.369760703,2.3665428161621094
66,428588827.5695595,2.5985240936279297
67,381600667.06967443,2.8514862060546875
68,980891173.6829243,3.880023956298828
69,924815042.2181015,4.361629486083984
70,4059641748.3415136,2.4709701538085938
