QueryID,Tables,duckdb_Estimate,duckdb_InferenceTime
7,AN CI LT ML N T,55641,6.47735595703125
7,CI LT ML N PI T,182953,7.426977157592773
7,CI IT ML N PI T,184586,8.376598358154297
7,CI IT LT ML N PI,240616,7.352113723754883
7,AN CI LT ML PI T,1832630,6.308794021606445
7,AN CI IT ML PI T,1848992,5.429744720458984
7,AN CI IT LT ML PI,2410237,8.20612907409668
7,CI IT LT ML PI T,1245908,9.596109390258789
7,AN CI LT ML N PI T,39895,11.153697967529297
7,AN CI IT ML N PI T,40252,14.613866806030273
7,AN CI IT LT ML N PI,52470,9.083986282348633
7,CI IT LT ML N PI T,184586,7.536172866821289
7,AN CI IT LT ML PI T,1848992,7.31348991394043
7,AN CI IT LT ML N PI T,40252,10.317087173461914
8,AN1 N1,908790,4.33039665222168
8,AN1 CI,53788465,2.4471282958984375
8,CI N1,36543815,1.6524791717529297
8,CI T,27804532,1.9495487213134766
8,CI MC,28693298,1.5985965728759766
8,CI RT,36244344,2.4526119232177734
8,MC T,2724454,4.336357116699219
8,CN MC,2690060,3.1349658966064453
8,AN1 CI N1,7968983,3.2134056091308594
8,AN1 CI T,41263351,4.178524017333984
8,AN1 CI MC,42582326,6.220579147338867
8,AN1 CI RT,53788465,5.521535873413086
8,CI N1 T,28034269,3.9587020874023438
8,CI MC N1,28930379,6.08372688293457
8,CI N1 RT,36543815,5.599260330200195
8,CI MC T,22011813,6.578922271728516
8,CI RT T,27804532,6.089210510253906
8,CI CN MC,29583327,3.1003952026367188
8,CI MC RT,28693298,1.8343925476074219
8,CN MC T,2808963,3.4275054931640625
8,AN1 CI N1 T,6113336,5.861997604370117
8,AN1 CI MC N1,6308748,6.490230560302734
8,AN1 CI N1 RT,7968983,8.656501770019531
8,AN1 CI MC T,32666660,6.894826889038086
8,AN1 CI RT T,41263351,6.668329238891602
8,AN1 CI CN MC,43903175,6.724357604980469
8,AN1 CI MC RT,42582326,7.554054260253906
8,CI MC N1 T,22193688,3.907918930053711
8,CI N1 RT T,28034269,7.732868194580078
8,CI CN MC N1,29827762,6.547451019287109
8,CI MC N1 RT,28930379,6.592988967895508
8,CI CN MC T,22694591,8.105754852294922
8,CI MC RT T,22011813,5.572080612182617
8,CI CN MC RT,29583327,6.197929382324219
8,AN1 CI MC N1 T,4839701,10.130643844604492
8,AN1 CI N1 RT T,6113336,4.172801971435547
8,AN1 CI CN MC N1,6504437,9.451866149902344
8,AN1 CI MC N1 RT,6308748,6.784200668334961
8,AN1 CI CN MC T,33679938,4.152774810791016
8,AN1 CI MC RT T,32666660,4.879474639892578
8,AN1 CI CN MC RT,43903175,3.739595413208008
8,CI CN MC N1 T,22882107,8.380413055419922
8,CI MC N1 RT T,22193688,7.99250602722168
8,CI CN MC N1 RT,29827762,6.211042404174805
8,CI CN MC RT T,22694591,7.900476455688477
8,AN1 CI CN MC N1 T,4989822,9.398937225341797
8,AN1 CI MC N1 RT T,4839701,9.127616882324219
8,AN1 CI CN MC N1 RT,6504437,12.754678726196289
8,AN1 CI CN MC RT T,33679938,7.783174514770508
8,CI CN MC N1 RT T,22882107,5.617380142211914
8,AN1 CI CN MC N1 RT T,4989822,10.143518447875977
9,CI T,27804532,2.171754837036133
9,CI MC,28693298,3.7126541137695312
9,CI RT,36244344,3.3071041107177734
9,CI N,36543815,3.8411617279052734
9,CHN CI,36482289,3.8652420043945312
9,AN CI,53788465,4.126071929931641
9,MC T,2724454,4.403829574584961
9,CN MC,2690060,1.9745826721191406
9,AN N,908790,3.0591487884521484
9,CI MC T,22011813,3.0639171600341797
9,CI RT T,27804532,4.6520233154296875
9,CI N T,28034269,7.037162780761719
9,CHN CI T,27987070,5.143165588378906
9,AN CI T,41263351,6.384849548339844
9,CI CN MC,29583327,5.2127838134765625
9,CI MC RT,28693298,5.066394805908203
9,CI MC N,28930379,6.046772003173828
9,CHN CI MC,28881671,5.817651748657227
9,AN CI MC,42582326,5.259513854980469
9,CI N RT,36543815,5.10406494140625
9,CHN CI RT,36482289,4.752397537231445
9,AN CI RT,53788465,4.622459411621094
9,CHN CI N,36783727,5.699634552001953
9,AN CI N,7968983,5.789279937744141
9,AN CHN CI,54141588,4.780769348144531
9,CN MC T,2808963,5.896329879760742
9,CI CN MC T,22694591,6.778240203857422
9,CI MC RT T,22011813,3.5762786865234375
9,CI MC N T,22193688,3.6013126373291016
9,CHN CI MC T,22156322,5.9814453125
9,AN CI MC T,32666660,3.9911270141601562
9,CI N RT T,28034269,8.711099624633789
9,CHN CI RT T,27987070,8.273839950561523
9,AN CI RT T,41263351,6.708860397338867
9,CHN CI N T,28218315,6.203889846801758
9,AN CI N T,6113336,6.840229034423828
9,AN CHN CI T,41534247,5.440950393676758
9,CI CN MC RT,29583327,4.924297332763672
9,CI CN MC N,29827762,6.543636322021484
9,CHN CI CN MC,29777543,6.197929382324219
9,AN CI CN MC,43903175,7.898569107055664
9,CI MC N RT,28930379,6.0100555419921875
9,CHN CI MC RT,28881671,7.294416427612305
9,AN CI MC RT,42582326,6.687641143798828
9,CHN CI MC N,29120308,5.867958068847656
9,AN CI MC N,6308748,3.9243698120117188
9,AN CHN CI MC,42861881,3.215789794921875
9,CHN CI N RT,36783727,6.583452224731445
9,AN CI N RT,7968983,8.675575256347656
9,AN CHN CI RT,54141588,5.335330963134766
9,AN CHN CI N,8021300,7.344722747802734
9,CI CN MC RT T,22694591,3.8917064666748047
9,CI CN MC N T,22882107,10.145425796508789
9,CHN CI CN MC T,22843582,6.561517715454102
9,AN CI CN MC T,33679938,7.60197639465332
9,CI MC N RT T,22193688,5.144834518432617
9,CHN CI MC RT T,22156322,3.961324691772461
9,AN CI MC RT T,32666660,8.000612258911133
9,CHN CI MC N T,22339390,6.846189498901367
9,AN CI MC N T,4839701,5.079746246337891
9,AN CHN CI MC T,32881118,4.572629928588867
9,CHN CI N RT T,28218315,6.965160369873047
9,AN CI N RT T,6113336,6.987571716308594
9,AN CHN CI RT T,41534247,4.549980163574219
9,AN CHN CI N T,6153470,7.009744644165039
9,CI CN MC N RT,29827762,5.583047866821289
9,CHN CI CN MC RT,29777543,3.977537155151367
9,AN CI CN MC RT,43903175,6.366252899169922
9,CHN CI CN MC N,30023582,6.309747695922852
9,AN CI CN MC N,6504437,5.5179595947265625
9,AN CHN CI CN MC,44191401,6.824970245361328
9,CHN CI MC N RT,29120308,10.077953338623047
9,AN CI MC N RT,6308748,4.889965057373047
9,AN CHN CI MC RT,42861881,10.359764099121094
9,AN CHN CI MC N,6350165,6.8607330322265625
9,AN CHN CI N RT,8021300,6.599903106689453
9,CI CN MC N RT T,22882107,8.279800415039062
9,CHN CI CN MC RT T,22843582,12.011528015136719
9,AN CI CN MC RT T,33679938,8.424520492553711
9,CHN CI CN MC N T,23032329,6.9904327392578125
9,AN CI CN MC N T,4989822,12.764930725097656
9,AN CHN CI CN MC T,33901048,8.655786514282227
9,CHN CI MC N RT T,22339390,12.075424194335938
9,AN CI MC N RT T,4839701,9.12928581237793
9,AN CHN CI MC RT T,32881118,6.181955337524414
9,AN CHN CI MC N T,4871473,6.770133972167969
