QueryID,Tables,duckdb_Estimate,duckdb_InferenceTime
37,MC MI_IDX,604350,19.536733627319336
37,MC MI T,16001,35.72821617126465
37,MI MI_IDX T,4231,32.09424018859863
37,MC MI_IDX T,32350,19.906044006347656
37,MC MI MI_IDX,13101,27.881860733032227
37,MC MI MI_IDX T,2045,35.29977798461914
38,MI T,33097,212.65625953674316
38,MK T,787316,11.876344680786133
38,MI_IDX T,60043,7.910490036010742
38,MI MK,355327,10.046243667602539
38,MI MI_IDX,27098,12.658357620239258
38,MI_IDX MK,16104300,6.959676742553711
38,MI MK T,55489,18.522262573242188
38,MI MI_IDX T,4231,20.668983459472656
38,MI_IDX MK T,112184,12.425422668457031
38,MI MI_IDX MK,45431,11.62266731262207
38,MI MI_IDX MK T,7094,20.360231399536133
39,MI T,33097,14.730453491210938
39,MK T,787316,8.594274520874023
39,MI_IDX T,60043,10.448694229125977
39,MI MK,355327,9.35506820678711
39,MI MI_IDX,27098,12.647628784179688
39,MI_IDX MK,16104300,7.703065872192383
39,MI MK T,55489,13.516664505004883
39,MI MI_IDX T,4231,16.741514205932617
39,MI_IDX MK T,112184,12.363672256469727
39,MI MI_IDX MK,45431,19.918441772460938
39,MI MI_IDX MK T,7094,21.99411392211914
40,MI T,39716,9.871721267700195
40,MK T,944777,2.032756805419922
40,MI_IDX T,72051,8.905649185180664
40,MI MK,355327,14.399528503417969
40,MI MI_IDX,27098,19.161701202392578
40,MI_IDX MK,16104300,8.879661560058594
40,MI MK T,66587,9.997129440307617
40,MI MI_IDX T,5078,16.743183135986328
40,MI_IDX MK T,134621,5.733013153076172
40,MI MI_IDX MK,45431,18.20993423461914
40,MI MI_IDX MK T,8513,21.312475204467773
41,MI T,39716,21.805763244628906
41,MK T,944777,4.569053649902344
41,MC T,544890,4.166364669799805
41,MI MK,355327,19.461631774902344
41,MC MI,204931,25.989055633544922
41,MC MK,15849071,2.215147018432617
41,MI MK T,66587,22.22728729248047
41,MC MI T,38403,19.614219665527344
41,MC MK T,1018071,5.717992782592773
