QueryID,Tables,safebound_Estimate,safebound_InferenceTime
37,MI MI_IDX,1769615.0,0.821
37,MC MI_IDX,1300180.0,0.673
37,T MI MC,9175756.0,2.109
37,T MI MI_IDX,1769614.9999999998,1.905
37,T MC MI_IDX,1277004.121509021,1.597
37,MI MC MI_IDX,9160734.000000002,1.209
37,T MI MC MI_IDX,9114382.243018042,2.6229999999999998
38,T MI,1325360.9999999998,2.31
38,T MK,1801372.0000000005,1.534
38,T MI_IDX,311178.71760000003,1.246
38,MI MK,23977923.397870205,0.584
38,MI MI_IDX,1325361.0,0.727
38,MK MI_IDX,4523930.0,0.46900000000000003
38,T MI MK,13718087.999999983,3.47
38,T MI MI_IDX,1030216.1527999998,3.108
38,T MK MI_IDX,1801372.0000000005,2.4090000000000003
38,MI MK MI_IDX,23977923.397870205,0.966
38,T MI MK MI_IDX,13718087.999999983,4.2459999999999996
39,T MI,1325361.0,1.221
39,T MK,2886677.0000000005,0.767
39,T MI_IDX,459925.0,0.825
39,MI MK,23977923.397870205,0.5820000000000001
39,MI MI_IDX,1325361.0,0.73
39,MK MI_IDX,4523930.0,0.46900000000000003
39,T MI MK,19421688.878262784,1.7149999999999999
39,T MI MI_IDX,1325361.0,1.785
39,T MK MI_IDX,2886677.0000000005,1.3179999999999998
39,MI MK MI_IDX,23977923.397870205,0.9269999999999999
39,T MI MK MI_IDX,19421688.878262784,2.233
40,T MI,1325360.9999999998,1.312
40,T MK,1801372.0000000005,0.6819999999999999
40,T MI_IDX,459925.0,0.716
40,MI MK,23977923.397870205,0.584
40,MI MI_IDX,1325361.0,0.7240000000000001
40,MK MI_IDX,4523930.0,0.465
40,T MI MK,13718088.000000002,1.9689999999999999
40,T MI MI_IDX,1325360.9999999998,1.935
40,T MK MI_IDX,1801372.0000000005,1.302
40,MI MK MI_IDX,23977923.397870205,0.9380000000000001
40,T MI MK MI_IDX,13718088.000000002,2.5100000000000002
41,T MI,3036718.9999999986,1.246
41,T MK,2946979.000000001,0.608
41,T MC,1603462.0,0.495
41,MI MK,72088288.01908848,0.678
41,MI MC,17723117.97481023,0.6629999999999999
41,MK MC,55519141.22824458,0.27999999999999997
41,T MI MK,58713965.93827758,1.814
41,T MI MC,14573642.07535928,1.712
41,T MK MC,39853307.29538627,1.046
41,MI MK MC,1834479804.6150525,0.861
41,T MI MK MC,1580938698.4906554,2.298
42,T MI,3036718.9999999977,2.0709999999999997
42,T MK,1801371.9999999998,1.3190000000000002
42,T MC,1107987.0,0.9470000000000001
42,MI MK,72088288.01908848,0.675
42,MI MC,17723117.97481023,0.65
42,MK MC,55519141.22824458,0.27999999999999997
42,T MI MK,44593390.226715766,3.449
42,T MI MC,11966418.914798668,3.143
42,T MK MC,26056201.566459,2.2950000000000004
42,MI MK MC,1834479804.6150525,0.866
42,T MI MK MC,1196075741.167571,4.266
43,T MI,3036718.9999999986,1.244
43,T MK,2946979.000000001,0.607
43,T MC,1603462.0,0.501
43,MI MK,72088288.01908848,0.6759999999999999
43,MI MC,17723117.97481023,0.653
43,MK MC,55519141.22824458,0.277
43,T MI MK,58713965.93827758,1.812
43,T MI MC,14573642.07535928,1.81
43,T MK MC,39853307.29538627,1.037
43,MI MK MC,1834479804.6150525,0.869
43,T MI MK MC,1580938698.4906554,2.198
44,T CI,36244344.0,0.212
44,T MK,41840.0,0.446
44,T MC,2609129.0,0.157
44,CI MK,6601741.895951484,0.47600000000000003
44,CI MC,134661592.61397463,0.263
44,MK MC,974941.907724241,0.477
44,T CI MK,6601741.895951484,0.521
44,T CI MC,134661592.61397463,0.368
44,T MK MC,974941.907724241,0.5379999999999999
44,CI MK MC,186186163.19429585,0.579
44,T CI MK MC,186186163.19429585,0.616
45,T MI,121863.0,0.502
45,T MI_IDX,459925.0,0.364
45,T CI,36244344.0,0.19699999999999998
45,MI MI_IDX,121863.0,0.7060000000000001
45,MI CI,15880112.299701108,0.501
45,MI_IDX CI,20200237.54669576,0.41800000000000004
45,T MI MI_IDX,121863.0,0.767
45,T MI CI,15880112.29970111,0.592
45,T MI_IDX CI,20200237.54669576,0.517
45,MI MI_IDX CI,15880112.299701108,0.829
45,T MI MI_IDX CI,15880112.29970111,0.862
46,T MI,1533909.0,1.8519999999999999
46,T MI_IDX,311178.7176,0.828
46,T CI,14323063.999999996,1.111
46,MI MI_IDX,1533909.0,0.733
46,MI CI,83574790.20576264,0.546
46,MI_IDX CI,20200237.54669576,0.421
46,T MI MI_IDX,1313786.8704,2.559
46,T MI CI,64009685.00000002,2.9459999999999997
46,T MI_IDX CI,11880670.792243812,1.818
46,MI MI_IDX CI,83574790.20576264,0.892
46,T MI MI_IDX CI,58993245.168975264,3.5
47,T MI,1533909.0,0.514
47,T MI_IDX,459925.0,0.364
47,T CI,36244344.0,0.196
47,MI MI_IDX,1533909.0,0.718
47,MI CI,83574790.20576264,0.539
47,MI_IDX CI,20200237.54669576,0.426
47,T MI MI_IDX,1533909.0,0.784
47,T MI CI,83574790.20576264,0.646
47,T MI_IDX CI,20200237.54669576,0.5199999999999999
47,MI MI_IDX CI,83574790.20576264,0.869
47,T MI MI_IDX CI,83574790.20576264,0.924
48,T MI,2478750.999999998,2.214
48,T MC,849936.0000000001,1.0579999999999998
48,T CI,7451973.000000002,1.772
48,MI MC,17723117.97481023,0.641
48,MI CI,41836275.99999999,0.98
48,MC CI,36797048.23339826,0.584
48,T MI MC,11319397.883070843,3.314
48,T MI CI,41836275.99999999,4.066
48,T MC CI,21034021.099835124,2.763
48,MI MC CI,740432421.6921067,1.1509999999999998
48,T MI MC CI,594614910.6680081,4.897
49,T MI,3036719.0,0.596
49,T MC,2609129.0,0.159
49,T CI,7451973.0,0.544
49,MI MC,17723117.97481023,0.62
49,MI CI,41836275.99999999,0.959
49,MC CI,36797048.23339826,0.584
49,T MI MC,17723117.97481023,0.732
49,T MI CI,41836275.99999999,1.1119999999999999
49,T MC CI,36797048.23339826,0.714
49,MI MC CI,740432421.6921067,1.192
49,T MI MC CI,740432421.6921067,1.313
50,T MI,3036718.9999999986,1.238
50,T MC,1603462.0,0.516
50,T CI,7451973.0,1.008
50,MI MC,17723117.97481023,0.6489999999999999
50,MI CI,41836275.99999999,0.9650000000000001
50,MC CI,36797048.23339826,0.583
50,T MI MC,14573642.07535928,1.732
50,T MI CI,41836275.99999995,2.232
50,T MC CI,29677614.829209704,1.527
50,MI MC CI,740432421.6921067,1.1800000000000002
50,T MI MC CI,696549206.0442356,2.624
51,T MK,2886713.796853456,1.077
51,T CI,10396785.999999998,1.081
51,MK CI,438622123.29793966,0.3
51,T MK CI,322564508.3376176,1.84
52,T MK,2886713.796853456,1.451
52,T CI,10396785.999999998,1.288
52,MK CI,438622123.29793966,0.296
52,T MK CI,283791830.51797575,2.451
53,T MK,10545.0,0.764
53,T MC,1334883.0,0.7929999999999999
53,T MI,14779319.0,0.465
53,MK MC,166059.00000000003,0.737
53,MK MI,3136449.701556041,0.484
53,MC MI,45068081.20896321,0.545
53,T MK MC,166059.00000000003,1.3359999999999999
53,T MK MI,3199473.597413593,1.02
53,T MC MI,45937707.950156026,1.11
53,MK MC MI,63147285.96531304,0.94
53,T MK MC MI,64810688.58733293,1.56
54,T MK,10545.000000000004,1.426
54,T MC,1107987.0,1.266
54,T MI,9251212.578041704,1.0
54,MK MC,166059.00000000003,0.741
54,MK MI,3136449.701556041,0.48000000000000004
54,MC MI,45068081.20896321,0.5429999999999999
54,T MK MC,166059.00000000006,2.467
54,T MK MI,2908797.215372238,2.162
54,T MC MI,36277496.40876725,2.209
54,MK MC MI,63147285.96531304,0.9380000000000001
54,T MK MC MI,58084560.42414842,3.155
55,T MK,10545.0,0.763
55,T MC,1334883.0,0.79
55,T MI,14779319.0,0.47
55,MK MC,166059.00000000003,0.737
55,MK MI,3136449.701556041,0.482
55,MC MI,45068081.20896321,0.545
55,T MK MC,166059.00000000003,1.332
55,T MK MI,3199473.597413593,1.021
55,T MC MI,45937707.950156026,1.106
55,MK MC MI,63147285.96531304,0.924
55,T MK MC MI,64810688.58733293,1.5659999999999998
56,T MI,1325360.9999999998,1.324
56,MK T,1801372.0000000005,0.726
56,MI_IDX T,311178.7176,0.761
56,T MC,1107987.0,0.574
56,MK MI,23977923.397870205,0.616
56,MI_IDX MI,1325361.0,0.723
56,MI MC,6965794.670730757,0.545
56,MI_IDX MK,4523930.0,0.451
56,MK MC,55519141.22824458,0.27
56,MI_IDX MC,1778711.5894096042,0.43
56,T MI MK,13718088.000000002,1.965
56,T MI MI_IDX,1030216.1527999996,1.977
56,T MI MC,5107210.031093456,1.842
56,T MK MI_IDX,1801372.0000000005,1.359
56,T MK MC,32358764.498550504,1.178
56,T MI_IDX MC,1049129.1843586748,1.216
56,MI MK MI_IDX,23977923.397870205,0.958
56,MI MK MC,509879451.7011238,0.7739999999999999
56,MI MI_IDX MC,6965794.670730757,0.884
56,MK MI_IDX MC,55519141.22824458,0.6040000000000001
56,T MI MK MI_IDX,13718088.000000002,2.5460000000000003
56,T MI MK MC,381600667.0696744,2.373
56,T MI MI_IDX MC,4930636.584169479,2.397
56,T MK MI_IDX MC,32358764.498550504,1.761
56,MI MK MI_IDX MC,509879451.7011238,1.08
56,T MI MK MI_IDX MC,381600667.0696744,2.974
57,T MI,1325360.9999999998,1.322
57,MK T,1801372.0000000005,0.731
57,MI_IDX T,311178.7176,0.775
57,T MC,1107987.0,0.611
57,MK MI,23977923.397870205,0.66
57,MI_IDX MI,1325361.0,0.7290000000000001
57,MI MC,6965794.670730757,0.5469999999999999
57,MI_IDX MK,4523930.0,0.45399999999999996
57,MK MC,55519141.22824458,0.27399999999999997
57,MI_IDX MC,1778711.5894096042,0.431
57,T MI MK,13718088.000000002,1.97
57,T MI MI_IDX,1030216.1527999996,1.9680000000000002
57,T MI MC,5107210.031093456,1.848
57,T MK MI_IDX,1801372.0000000005,1.348
57,T MK MC,32358764.498550504,1.239
57,T MI_IDX MC,1049129.1843586748,1.272
57,MI MK MI_IDX,23977923.397870205,0.9510000000000001
