QueryID,Tables,postgres_Estimate
47,MI MI_IDX T,4025074
47,CI MI T,3878158
47,CI MI_IDX T,4046600
47,CI MI MI_IDX,4161169
47,CI MI MI_IDX T,3995940
48,MI T,1295034
48,MC T,1305703
48,CI T,1283263
48,MC MI,1280048
48,CI MI,1296661
48,CI MC,1274743
48,MC MI T,1243844
48,CI MI T,1315278
48,CI MC T,1279766
48,CI MC MI,1313710
48,CI MC MI T,1291212
49,MI T,9133756
49,MC T,8983628
49,CI T,9153958
49,MC MI,9142909
49,CI MI,9379587
49,CI MC,9195685
49,MC MI T,8804418
49,CI MI T,9139194
49,CI MC T,9366428
49,CI MC MI,9240315
49,CI MC MI T,9488747
50,MI T,4932314
50,MC T,4938186
50,CI T,5315363
50,MC MI,4952718
50,CI MI,4889562
50,CI MC,5170570
50,MC MI T,5065013
50,CI MI T,5060308
50,CI MC T,5159382
50,CI MC MI,4838572
50,CI MC MI T,5165499
51,MK T,15463225
51,CI T,15212669
51,CI MK,15455959
51,CI MK T,15175974
52,MK T,9276263
52,CI T,9237897
52,CI MK,9441002
52,CI MK T,9390060
53,MK T,11139
53,MC T,11172
53,MI T,10265
53,MC MK,10992
53,MI MK,8747
53,MC MI,9182
53,MC MK T,10238
53,MI MK T,11722
53,MC MI T,9854
53,MC MI MK,10541
53,MC MI MK T,14462
54,MK T,12726
54,MC T,11261
54,MI T,11551
54,MC MK,10583
54,MI MK,10465
54,MC MI,10957
54,MC MK T,8564
54,MI MK T,11279
54,MC MI T,11752
54,MC MI MK,10884
54,MC MI MK T,11318
55,MK T,22013
55,MC T,23674
55,MI T,22178
55,MC MK,20681
55,MI MK,23299
55,MC MI,23233
55,MC MK T,25039
55,MI MK T,21185
55,MC MI T,23043
55,MC MI MK,26338
55,MC MI MK T,26990
56,MI T,121446
56,MK T,115164
56,MI_IDX T,117056
56,MC T,111361
56,MI MK,114122
56,MI MI_IDX,119079
56,MC MI,113250
56,MI_IDX MK,116276
56,MC MK,115159
56,MC MI_IDX,115436
56,MI MK T,114936
56,MI MI_IDX T,116522
56,MC MI T,124576
56,MI_IDX MK T,116501
56,MC MK T,119792
56,MC MI_IDX T,115726
56,MI MI_IDX MK,116142
56,MC MI MK,114850
56,MC MI MI_IDX,120203
56,MC MI_IDX MK,114608
56,MI MI_IDX MK T,118592
56,MC MI MK T,115053
56,MC MI MI_IDX T,113198
56,MC MI_IDX MK T,116388
56,MC MI MI_IDX MK,116735
56,MC MI MI_IDX MK T,114750
57,MI T,94452
57,MK T,92812
57,MI_IDX T,93264
57,MC T,95183
57,MI MK,89204
57,MI MI_IDX,91152
57,MC MI,92224
57,MI_IDX MK,92959
57,MC MK,97888
57,MC MI_IDX,82970
57,MI MK T,100764
57,MI MI_IDX T,87426
57,MC MI T,100379
57,MI_IDX MK T,95151
57,MC MK T,93851
57,MC MI_IDX T,91157
57,MI MI_IDX MK,97587
57,MC MI MK,91416
57,MC MI MI_IDX,96573
57,MC MI_IDX MK,95272
57,MI MI_IDX MK T,97564
57,MC MI MK T,95094
57,MC MI MI_IDX T,92115
57,MC MI_IDX MK T,91171
57,MC MI MI_IDX MK,93980
57,MC MI MI_IDX MK T,92357
58,MI T,2603016
58,MC T,2605657
58,CI T,2624584
58,MK T,2559100
58,MC MI,2500626
58,CI MI,2483890
58,MI MK,2575117
58,CI MC,2507729
58,MC MK,2471476
58,CI MK,2601217
58,MC MI T,2502609
58,CI MI T,2553711
58,MI MK T,2482129
58,CI MC T,2785256
58,MC MK T,2629051
58,CI MK T,2504459
58,CI MC MI,2509778
58,MC MI MK,2581173
58,CI MI MK,2592311
58,CI MC MK,2554615
58,CI MC MI T,2612039
58,MC MI MK T,2582800
58,CI MI MK T,2565216
58,CI MC MK T,2577684
58,CI MC MI MK,2526104
58,CI MC MI MK T,2491420
59,MI T,107
59,MC T,97
59,CI T,100
59,MK T,100
59,MC MI,100
59,CI MI,98
59,MI MK,98
59,CI MC,98
59,MC MK,95
59,CI MK,100
59,MC MI T,98
59,CI MI T,100
59,MI MK T,97
59,CI MC T,95
59,MC MK T,102
59,CI MK T,100
59,CI MC MI,95
59,MC MI MK,102
59,CI MI MK,97
59,CI MC MK,102
59,CI MC MI T,97
59,MC MI MK T,102
59,CI MI MK T,95
59,CI MC MK T,104
59,CI MC MI MK,93
59,CI MC MI MK T,100
60,MI T,9199357
60,MC T,8748917
60,CI T,8887093
60,MK T,9099028
60,MC MI,8935262
60,CI MI,9171903
60,MI MK,8914433
60,CI MC,8962775
60,MC MK,9666837
60,CI MK,9315005
60,MC MI T,9441760
60,CI MI T,8765614
60,MI MK T,8987059
60,CI MC T,8883134
60,MC MK T,9019087
60,CI MK T,8653849
60,CI MC MI,8706739
60,MC MI MK,9149131
60,CI MI MK,8893575
60,CI MC MK,9010597
60,CI MC MI T,8985925
60,MC MI MK T,8712478
60,CI MI MK T,8623912
60,CI MC MK T,9054509
60,CI MC MI MK,8940675
60,CI MC MI MK T,8860083
61,MI T,7061184
61,MI_IDX T,7253301
61,CI T,7142688
61,MK T,7206393
61,MI MI_IDX,7531101
61,CI MI,7257903
61,MI MK,7351631
61,CI MI_IDX,7203511
61,MI_IDX MK,7012160
61,CI MK,6850652
61,MI MI_IDX T,7395171
61,CI MI T,7287097
61,MI MK T,7221287
61,CI MI_IDX T,7189427
61,MI_IDX MK T,6964671
61,CI MK T,6961462
61,CI MI MI_IDX,7146246
61,MI MI_IDX MK,7300966
61,CI MI MK,7207636
61,CI MI_IDX MK,7100570
61,CI MI MI_IDX T,7299133
61,MI MI_IDX MK T,7205354
61,CI MI MK T,7455703
61,CI MI_IDX MK T,7520089
61,CI MI MI_IDX MK,6862775
61,CI MI MI_IDX MK T,7065463
62,MI T,1067531
62,MI_IDX T,1091278
62,CI T,1175776
62,MK T,1076051
62,MI MI_IDX,1069086
62,CI MI,1108941
62,MI MK,1050927
62,CI MI_IDX,1107849
62,MI_IDX MK,1127392
62,CI MK,1085474
62,MI MI_IDX T,1144376
62,CI MI T,1116211
62,MI MK T,1125204
62,CI MI_IDX T,1096023
62,MI_IDX MK T,1090515
62,CI MK T,1051788
62,CI MI MI_IDX,1062216
62,MI MI_IDX MK,1134409
62,CI MI MK,1083710
62,CI MI_IDX MK,1138636
62,CI MI MI_IDX T,1096361
62,MI MI_IDX MK T,1158832
62,CI MI MK T,1109926
62,CI MI_IDX MK T,1061437
62,CI MI MI_IDX MK,1116462
62,CI MI MI_IDX MK T,1047093
63,MK T,1688873
63,CI T,1654802
63,MI_IDX T,1706320
63,CI MK,1706002
63,MI_IDX MK,1692279
63,CI MI_IDX,1692007
63,CI MK T,1696817
63,MI_IDX MK T,1701824
63,CI MI_IDX T,1693359
63,CI MI_IDX MK,1681097
63,CI MI_IDX MK T,1679224
64,MK T,1245445
64,CI T,1260591
64,MI_IDX T,1238630
64,CI MK,1212429
64,MI_IDX MK,1230383
64,CI MI_IDX,1227878
64,CI MK T,1232404
64,MI_IDX MK T,1269360
64,CI MI_IDX T,1252428
64,CI MI_IDX MK,1220946
64,CI MI_IDX MK T,1209941
65,MK T,586
65,MC T,631
65,MI T,578
65,MC MK,500
65,MI MK,682
65,MC MI,574
65,MC MK T,639
65,MI MK T,628
65,MC MI T,698
65,MC MI MK,547
65,MC MI MK T,574
66,MI T,235385
66,MK T,230501
66,MI_IDX T,238014
66,MC T,250746
66,MI MK,244150
66,MI MI_IDX,250980
66,MC MI,260318
66,MI_IDX MK,232150
66,MC MK,238045
66,MC MI_IDX,242393
66,MI MK T,242968
66,MI MI_IDX T,248893
66,MC MI T,242213
66,MI_IDX MK T,240607
66,MC MK T,250624
66,MC MI_IDX T,252771
