QueryID,lpbound_Estimate
1,7017.850235085449
2,564.0506156741995
3,7017.850235085449
4,564.0506156741995
5,638953.8811275813
6,156694631.36117053
7,34952033.757460766
8,268777033.83462834
9,1855908.0000000037
10,475877.9999999994
11,2993112.0000000107
12,24880944.634056486
13,10698124.050084218
14,33793177.31784498
15,77517.12934287667
16,434318.2576304162
17,11492.215528127634
18,81258.19871249924
19,378975385.2908979
20,12472084.000000011
21,1162162.9999999993
22,34227673.999999985
23,32912278.935953543
24,13196639.115977006
25,2049605.8469793622
26,23384440.17892728
27,19548534.684653975
28,37740152.04639745
29,21232915.898531064
30,106690522.5857647
31,111942.09099191049
32,111942.09099191049
33,59253999.4850685
34,2178535.033912426
35,4122.061858356504
36,2880612.8340578885
37,6634572.590444028
38,2586136.3195293127
39,11043870.138798472
40,7499854.371752275
41,1264006472.2955155
42,1020116831.7191652
43,1264006472.2955155
44,84843722.35933769
45,9430235.810175257
46,43681053.68479898
47,62644826.28924115
48,378643165.55240345
49,594216778.7289497
50,541410474.3421291
51,315562701.3041168
52,285868345.6847331
53,22363462.08045817
54,19073833.764486887
55,22363462.08045817
56,138980569.70353147
57,138980569.70353147
58,45988005730.32203
59,711947500.5546123
60,105927576895.57695
61,2581860485.247352
62,578024273.8469715
63,285868345.6847331
64,223709376.46108356
65,2718946.8070844524
66,187826851.3038249
67,138980569.70353147
68,259044079.42376152
69,227000896.47257292
70,2071444516.1192791
