QueryID,Runtime
1,0.159121
2,0.13115
3,0.234314
4,0.303794
5,0.411831
6,0.462352
7,0.392139
8,0.184047
9,0.163398
10,0.285773
11,0.186499
12,0.154657
13,0.089936
14,0.058133
15,0.37521
16,0.339515
17,0.229966
18,0.128812
19,0.220583
20,0.244048
21,0.174519
22,0.100538
23,0.131679
24,0.313059
25,0.054137
26,0.041536
27,0.085326
28,0.089002
29,0.147774
30,0.052867
31,0.309995
32,0.113296
33,0.181563
34,0.128913
35,0.251875
36,0.08071
37,0.196451
38,0.276239
39,0.365989
40,0.309281
41,0.316965
42,0.194056
43,0.177901
44,0.395144
45,0.507321
46,0.277746
47,0.286092
48,0.064549
49,0.303269
50,0.089022
51,0.150377
52,0.266949
53,0.238639
54,0.139049
55,0.472941
56,0.024437
57,0.080727
58,0.001077
59,0.003898
60,0.003712
61,0.01261
62,0.139232
63,0.078902
64,0.017087
65,0.012812
66,0.004024
67,0.005766
68,0.034348
69,0.004754
70,0.035565
71,0.016017
72,0.015138
73,0.092134
74,0.017266
75,0.010492
76,0.01296
77,0.002989
78,0.03805
79,0.010427
80,0.0162
81,0.001923
82,0.087829
83,0.008332
84,0.002944
85,0.002107
86,0.001708
87,0.021179
88,0.009728
89,0.081834
90,0.013885
91,0.008532
92,0.006311
93,0.068233
94,0.02783
95,0.06603
96,0.570458
97,0.09394
98,0.013913
99,0.158297
100,0.004714
101,0.010885
102,0.005774
103,0.00181
104,0.012363
105,0.001582
106,0.002239
107,0.148786
108,0.013292
109,0.010079
110,0.048906
111,0.009109
112,0.036821
113,0.003509
114,0.024123
115,0.05943
116,0.128831
117,0.038748
118,1.126943
119,0.012998
120,0.001207
121,0.177792
122,0.087174
123,0.001726
124,0.018135
125,0.006822
126,0.007762
127,0.106895
128,0.00105
129,0.016353
130,0.901603
131,0.001814
132,0.020435
133,0.125154
134,0.114881
135,0.001768
136,0.005369
137,0.002077
138,0.459612
139,5.571127
140,0.004228
141,0.032119
142,0.632477
143,0.008851
144,0.029689
145,0.002349
146,0.249536
147,0.095804
148,0.085172
149,0.014283
150,0.002117
151,0.051865
152,0.150311
153,0.023624
154,0.004561
155,0.023318
156,0.013595
157,0.155555
158,0.013022
159,0.00136
160,0.717622
161,10.13056
162,0.025459
163,0.052564
164,0.03873
165,0.077251
166,0.007571
167,0.001272
168,0.039237
169,0.252347
170,0.002049
171,0.012358
172,0.098219
173,0.27557
174,0.121448
175,0.143777
176,0.002602
177,0.016462
178,0.002093
179,0.090328
180,0.211943
181,0.164647
182,0.009883
183,0.006826
184,0.001579
185,0.004703
186,0.002014
187,0.216964
188,0.001677
189,0.049937
190,0.008579
191,0.005823
192,0.003649
193,0.07436
194,0.004557
195,0.012514
196,0.071996
197,0.005779
198,0.00975
199,0.015231
200,0.016104
201,0.008599
202,0.002256
203,0.298257
204,0.031143
205,0.012498
206,0.616544
207,0.038313
208,0.13323
209,0.001888
210,0.047446
211,0.002773
212,0.371
213,0.222757
214,0.34703
215,0.002719
216,0.001814
217,0.002788
218,0.008153
219,0.002157
