QueryID,Runtime
1,0.177144
2,0.14425
3,0.428728
4,0.367891
5,0.422237
6,0.400732
7,0.396186
8,0.175875
9,0.17922
10,0.314479
11,0.176094
12,0.142678
13,0.084389
14,0.048373
15,0.342261
16,0.329727
17,0.207418
18,0.120452
19,0.303554
20,0.219362
21,0.165697
22,0.102127
23,0.122529
24,0.319307
25,0.045672
26,0.039744
27,0.082853
28,0.079448
29,0.136129
30,0.04569
31,0.376483
32,0.110072
33,0.160031
34,0.173311
35,0.302789
36,0.070242
37,0.18401
38,0.25638
39,0.354006
40,0.326377
41,0.334451
42,0.185479
43,0.170788
44,0.35418
45,0.472803
46,0.269777
47,0.253191
48,0.063337
49,0.400824
50,0.086814
51,0.132083
52,0.327401
53,0.225549
54,0.129867
55,0.378865
56,0.110615
57,0.286537
58,0.003257
59,0.00494
60,0.004172
61,0.031352
62,0.231977
63,0.08491
64,0.034037
65,0.019647
66,0.011333
67,0.011297
68,0.195766
69,0.013629
70,0.078082
71,0.039802
72,0.021376
73,0.085471
74,0.025617
75,0.01526
76,0.017073
77,0.008541
78,0.020756
79,0.026389
80,0.009508
81,0.003922
82,0.088133
83,0.007191
84,0.004165
85,0.002868
86,0.001989
87,0.010018
88,0.013833
89,0.07827
90,0.030895
91,0.017504
92,0.012603
93,0.039328
94,0.058108
95,0.027812
96,0.626719
97,0.090159
98,0.017197
99,0.157205
100,0.01127
101,0.016616
102,0.011056
103,0.003806
104,0.020192
105,0.001409
106,0.0022
107,0.145873
108,0.019923
109,0.011618
110,0.023126
111,0.023314
112,0.036932
113,0.006054
114,0.112347
115,0.188884
116,0.45945
117,0.046917
118,2.798385
119,0.030858
120,0.00299
121,0.730582
122,0.255143
123,0.002033
124,0.022359
125,0.01797
126,0.013094
127,0.260819
128,0.001601
129,0.021471
130,0.846898
131,0.001618
132,0.030759
133,0.158816
134,0.169932
135,0.002234
136,0.009994
137,0.002524
138,0.039066
139,5.385317
140,0.002986
141,0.030183
142,0.727998
143,0.011842
144,0.024649
145,0.003594
146,0.258701
147,0.088485
148,0.07954
149,0.017214
150,0.001788
151,0.04333
152,0.141445
153,0.026776
154,0.007479
155,0.061507
156,0.023745
157,0.148629
158,0.016029
159,0.001414
160,0.713321
161,0.747664
162,0.023228
163,0.045932
164,0.044719
165,0.088047
166,0.008092
167,0.001505
168,0.035547
169,0.224195
170,0.003364
171,0.013791
172,0.171306
173,0.234023
174,0.113132
175,0.133104
176,0.006031
177,0.026476
178,0.002382
179,0.083392
180,0.193992
181,0.154144
182,0.010917
183,0.006217
184,0.001688
185,0.007591
186,0.002189
187,0.194529
188,0.002515
189,0.047517
