QueryID,Runtime
1,0.162425
2,0.125771
3,0.317439
4,0.299141
5,0.37611
6,0.41155
7,0.403557
8,0.226918
9,0.166051
10,0.277179
11,0.241943
12,0.151999
13,0.092008
14,0.056875
15,0.346267
16,0.345701
17,0.220081
18,0.125773
19,0.217275
20,0.224663
21,0.259359
22,0.108256
23,0.132436
24,0.302951
25,0.052282
26,0.04404
27,0.091975
28,0.085397
29,0.156123
30,0.053202
31,0.297465
32,0.117773
33,0.158795
34,0.172225
35,0.252848
36,0.081611
37,0.280318
38,0.270844
39,0.363205
40,0.293689
41,0.320768
42,0.257584
43,0.259644
44,0.367626
45,0.477975
46,0.30407
47,0.262046
48,0.069836
49,0.295611
50,0.0876
51,0.170441
52,0.258289
53,0.229343
54,0.140005
55,0.38907
56,0.024363
57,0.070368
58,0.001654
59,0.004205
60,0.004027
61,0.013951
62,0.134858
63,0.075406
64,0.016032
65,0.009793
66,0.005531
67,0.005499
68,0.03549
69,0.004434
70,0.030534
71,0.015224
72,0.009904
73,0.089775
74,0.017844
75,0.01584
76,0.011885
77,0.002788
78,0.035295
79,0.01033
80,0.015371
81,0.002136
82,0.08919
83,0.00658
84,0.002186
85,0.001989
86,0.001765
87,0.020651
88,0.008951
89,0.085007
90,0.02064
91,0.009365
92,0.007185
93,0.072391
94,0.026202
95,0.019797
96,0.555748
97,0.093735
98,0.011037
99,0.159092
100,0.004479
101,0.011403
102,0.006763
103,0.001979
104,0.013183
105,0.001018
106,0.00194
107,0.148977
108,0.012881
109,0.009328
110,0.015402
111,0.008658
112,0.433096
113,0.003727
114,0.023843
115,0.057714
116,0.128009
117,0.037522
118,0.362679
119,0.012501
120,0.001266
121,0.248688
122,0.111895
123,0.001369
124,0.015739
125,0.00692
126,0.007076
127,0.137914
128,0.001023
129,0.017266
130,0.877551
131,0.001317
132,0.021065
133,0.142703
134,0.12848
135,0.002961
136,0.005705
137,0.002443
138,0.042001
139,5.59968
140,0.004983
141,0.331926
142,0.718635
143,0.009794
144,0.410096
145,0.004043
146,0.273441
147,0.092253
148,0.086771
149,0.017967
150,0.002603
151,0.051852
152,0.14824
153,0.023338
154,0.003495
155,0.022488
156,0.014496
157,0.153551
158,0.014784
159,0.001311
160,0.167865
161,0.716924
162,0.026717
163,0.048701
164,0.040108
165,0.082163
166,0.007119
167,0.001718
168,0.033343
169,0.311089
170,0.001852
171,0.013947
172,0.10421
173,0.318307
174,0.117795
175,0.148675
176,0.003176
177,0.016544
178,0.002407
179,0.089746
180,0.210151
181,0.164921
182,0.010171
183,0.007163
184,0.001451
185,0.004572
186,0.001918
187,0.332591
188,0.00205
189,0.048767
190,0.00976
191,0.00587
192,0.003718
193,0.142728
194,0.003524
195,0.011745
196,0.069189
197,0.008473
198,0.010157
199,0.014332
200,0.013528
201,0.002777
202,0.001319
203,0.287577
204,0.017846
205,0.012834
206,0.583457
207,0.022752
208,0.136178
209,0.001925
210,0.045764
211,0.002875
212,0.473096
213,0.304015
214,0.381058
215,0.003595
216,0.001825
217,0.003535
218,0.011171
219,0.001417
220,0.009189
221,0.622265
222,0.701568
223,0.381612
224,0.087559
225,0.025718
226,0.616088
227,0.084184
228,0.09008
229,0.492753
230,0.162688
231,0.353251
232,0.699351
233,0.294775
234,0.163502
235,0.149553
236,0.201161
237,0.261224
238,0.090604
239,1.574592
240,0.160889
241,0.131888
242,0.350978
243,0.530098
244,0.37866
245,1.274239
246,0.274148
247,1.331556
248,0.174031
249,0.28883
250,0.788851
251,0.151125
252,0.637859
253,0.090831
254,0.262131
255,1.304405
256,0.329137
257,0.351357
258,0.099138
259,0.319254
260,0.237274
261,0.372606
262,0.128536
263,0.485726
264,0.620451
265,0.082288
266,0.207896
267,0.157424
268,0.092297
269,0.027489
270,0.024034
271,0.396109
272,1.129992
273,0.087306
274,0.456128
275,0.494592
276,0.023401
277,1.240148
278,0.015569
279,0.006079
280,0.064244
281,0.021721
282,0.01442
283,0.155877
284,0.003374
285,2.261497
286,0.019589
287,0.002101
288,0.040153
289,3.070087
290,0.003016
291,0.002578
292,0.012902
293,0.001099
294,0.001574
295,0.214195
296,0.020618
297,1.498422
298,0.00635
299,2.206309
300,0.022881
301,0.018052
302,0.028582
303,0.01467
304,0.012458
305,0.413193
306,0.022016
307,0.7529
308,0.002894
309,0.001837
310,0.043273
311,1.980234
312,0.002441
313,0.049602
314,0.715723
315,1.049393
316,0.038238
317,0.00354
318,0.02276
319,1.037391
320,0.138321
321,0.837069
322,0.890754
323,0.003386
324,1.333631
325,0.071827
326,0.024917
327,3.192615
328,0.006776
329,0.027517
330,0.041557
331,2.231334
332,0.250315
333,0.220943
334,0.205114
335,0.188243
336,1.196274
337,1.947895
338,0.355005
339,0.292643
340,0.822887
341,0.487692
342,0.252699
343,0.658481
344,0.517781
345,0.790966
346,0.495128
347,0.206696
348,0.05482
349,0.244525
350,0.166381
351,0.099938
352,1.410654
353,0.163557
354,1.364885
355,1.441847
356,0.327649
357,0.052467
358,0.161224
359,2.057764
360,1.26309
361,0.171286
362,0.617737
363,0.166506
364,0.158805
365,0.261808
366,1.210018
367,0.97261
368,0.206316
369,0.170104
370,0.208
371,0.168319
372,0.159606
373,0.226308
374,0.164018
375,1.208374
376,1.321854
377,0.075947
378,0.222351
379,0.22318
380,0.090084
381,1.649335
382,0.165926
383,0.165382
384,0.587572
385,1.50643
386,1.690638
387,0.169008
388,0.877251
389,0.177731
390,1.148069
391,0.753117
392,0.172411
393,0.48163
394,0.546559
395,0.496163
396,0.094098
397,0.189578
398,1.168527
399,0.8456
400,0.889218
401,0.919864
402,0.055897
403,0.833235
404,0.169619
405,0.702598
406,0.78171
407,0.263577
408,0.156365
409,0.092034
410,0.25204
411,0.7243
412,0.256179
413,0.125951
414,0.681485
415,1.869927
416,0.11555
417,1.252244
418,0.884245
419,0.88607
420,0.235443
421,0.433099
422,1.095012
423,0.158075
424,0.772647
425,1.594105
426,0.842193
427,0.255795
428,0.588202
429,0.222309
430,0.093392
431,0.614148
432,0.066254
433,0.052158
434,0.258006
435,2.41597
436,0.517603
437,0.224805
438,0.244146
439,0.902505
440,0.144966
441,0.285594
442,0.161566
443,0.123129
444,1.228809
445,0.586855
446,0.131564
447,1.306273
448,0.779426
449,0.091427
450,0.940151
451,0.048993
452,0.898532
453,1.725194
454,0.057469
455,1.717266
456,0.225119
457,0.136559
458,0.226636
459,1.483655
460,0.212151
461,0.091592
462,0.142779
463,0.405073
464,0.516436
465,0.092757
466,0.078627
467,0.83739
468,0.887883
469,0.620624
470,0.194289
471,0.535046
472,0.092753
473,0.091992
474,0.720308
475,0.163291
476,0.443284
477,0.091706
478,0.984119
479,0.095533
480,0.190776
481,0.091666
482,0.782103
483,0.09466
484,0.72579
485,0.686551
486,0.094793
487,0.092487
488,0.200007
489,0.077047
490,0.189534
491,2.772444
492,0.129713
493,0.094149
494,0.516227
495,0.353046
496,0.002676
497,0.017364
498,0.498153
499,0.089973
500,0.005616
501,0.004009
502,0.014792
503,0.012423
504,0.001864
505,0.38422
506,0.07891
507,1.705339
508,0.867418
509,0.08668
510,0.027303
511,0.058732
512,0.003754
513,0.017821
514,0.002646
515,0.55736
516,6.213473
517,0.003515
518,0.051852
519,0.01399
520,0.032313
521,0.085934
522,0.02606
523,5.34112
524,0.057869
525,0.033067
526,0.142046
527,0.005445
528,0.383764
529,0.206214
530,0.006676
531,0.003932
532,0.061178
533,1.026251
534,0.009113
535,1.702575
536,0.096402
537,0.024121
538,0.017526
539,0.010961
540,0.05109
541,0.029449
542,0.001642
543,0.02403
544,0.002212
545,0.022493
546,0.01862
547,0.146724
548,0.018589
549,0.247578
550,0.003556
551,0.025385
552,0.512525
553,0.011786
554,0.017952
555,8.301416
556,0.022862
557,0.846208
558,1.640728
